Day,Spot,RiskFreeRate,DivTrue,F_20d,F_60d,DivForecast,ImpliedDiv_20d,Mispricing_20d,Signal_20d,PnL_20d
0,100.0,0.02,0.015,100.05110450401185,100.18417325681123,0.0117873225058166,0.0135624772864642,0.0017751547806476,0,0.0
1,114.93428306022466,0.02,0.015,114.98498369674924,114.9559479447372,0.0164474172457295,0.0144430230700096,-0.0020043941757198,0,0.0
2,117.50273554764928,0.02,0.015,117.58034099208484,117.76056029957606,0.0143296116440224,0.0116809950779778,-0.0026486165660445,0,0.0
3,138.5989073269696,0.02,0.015,138.69341360656395,138.70584886821837,0.0171420014822762,0.0114113801277588,-0.0057306213545173,1,0.0
4,187.7469074782188,0.02,0.015,187.7850928613993,187.6766779329522,0.0164197128737206,0.0174375774671787,0.0010178645934581,0,0.0
5,188.3419384561508,0.02,0.015,188.3558595312644,188.6997513151967,0.0147815132620293,0.0190687200857129,0.0042872068236836,0,0.0
6,188.93947371175173,0.02,0.015,189.0177053027897,189.24106782088816,0.0124596188457947,0.0147839696352585,0.0023243507894638,0,0.0
7,258.06157504550333,0.02,0.015,258.1023233443764,258.3505842137161,0.0104554583259424,0.0180105986936753,0.0075551403677329,-1,0.0
8,310.5737367877423,0.02,0.015,310.6702537445332,311.05553097048454,0.0136604551437989,0.0160849080751409,0.002424452931342,0,171.97684013796928
9,296.94114075393964,0.02,0.015,297.1046296719173,297.62432379761697,0.0175691963829704,0.0130646407361834,-0.0045045556467869,0,0.0
10,344.0098774456213,0.02,0.015,344.1168050453639,344.40278984049723,0.0156422812323906,0.0160841868165243,0.0004419055841336,0,0.0
11,329.32631857579287,0.02,0.015,329.3364047486611,329.9688887626039,0.011262783663864,0.0196141096993981,0.0083513260355341,-1,0.0
12,315.1172214656817,0.02,0.015,315.24498182739705,315.3858775219728,0.0155195427775535,0.0148925218826704,-0.000627020894883,0,-57.14265848302068
13,346.1223782820485,0.02,0.015,346.1307861096795,346.7623291133541,0.0161559521391865,0.0196939309674406,0.0035379788282541,0,0.0
14,230.9826754759476,0.02,0.015,231.2185307758253,231.0019356575453,0.0123484276913966,0.0071407646877319,-0.0052076630036646,1,0.0
15,162.84658206373842,0.02,0.015,162.87933939519678,163.131803760107,0.0154611753178365,0.0174657075131267,0.0020045321952902,0,0.0
16,152.67559071213398,0.02,0.015,152.73302278662504,152.89262357547557,0.015174626155338,0.0152611412047132,8.651504937527699e-05,0,176.60338196203605
17,129.38245233000256,0.02,0.015,129.44301977002544,129.46132104995937,0.0115710891065081,0.0141029779486033,0.0025318888420952,0,0.0
18,143.98319305237038,0.02,0.015,144.03719364739138,144.28149861568818,0.0160733620810448,0.0152752823296067,-0.000798079751438,0,0.0
19,125.03431155259476,0.02,0.015,125.14314575598252,125.16291351650602,0.0166823535791047,0.0090372932561938,-0.0076450603229108,1,-106.07538501984277
